2014 01  0.105,266.88, 74.44, 17.84, 46.14
2014 02  0.101,264.95, 70.67, 27.85, 49.26
2014 03  0.099,263.94, 68.98, 34.25, 51.61
2014 04  0.101,264.34, 68.61, 35.10, 51.86
2014 05  0.107,265.80, 67.18, 33.85, 50.52
2014 06  0.119,268.60, 67.51, 28.77, 48.14
2014 07  0.137,271.99, 71.98, 19.74, 45.86
2014 08  0.161,275.50, 80.04, 11.20, 45.62
2014 09  0.187,278.56, 87.78,  5.88, 46.83
2014 10  0.212,281.21, 92.64,  3.51, 48.07
2014 11  0.234,283.24, 94.21,  1.62, 47.92
2014 12  0.252,284.81, 94.94,  4.71, 49.82
2014 13  0.268,285.98, 94.76,  7.62, 51.19
2014 14  0.286,287.03, 93.99,  9.38, 51.68
2014 15  0.310,287.97, 93.68, 15.65, 54.66
2014 16  0.336,288.93, 92.47, 24.84, 58.65
2014 17  0.366,289.92, 90.95, 33.22, 62.09
2014 18  0.390,290.79, 88.12, 40.32, 64.22
2014 19  0.412,291.57, 84.61, 45.97, 65.29
2014 20  0.429,292.08, 79.55, 52.45, 66.00
2014 21  0.444,292.57, 75.40, 54.65, 65.03
2014 22  0.452,292.60, 71.96, 57.50, 64.73
2014 23  0.470,293.55, 75.97, 50.25, 63.11
2014 24  0.479,293.97, 75.99, 47.72, 61.85
2014 25  0.481,294.31, 75.22, 46.06, 60.64
2014 26  0.480,294.54, 74.28, 44.09, 59.18
2014 27  0.484,295.14, 76.38, 38.58, 57.48
2014 28  0.484,295.69, 79.09, 34.55, 56.82
2014 29  0.483,296.15, 81.13, 31.61, 56.37
2014 30  0.481,296.53, 82.80, 31.01, 56.91
2014 31  0.478,296.57, 83.84, 30.61, 57.23
2014 32  0.473,296.26, 84.88, 31.61, 58.24
2014 33  0.465,295.67, 85.07, 32.40, 58.73
2014 34  0.456,294.95, 85.38, 29.88, 57.63
2014 35  0.447,294.08, 86.31, 26.92, 56.62
2014 36  0.437,293.01, 88.21, 26.11, 57.16
2014 37  0.421,291.91, 88.89, 24.25, 56.57
2014 38  0.398,290.70, 86.92, 21.86, 54.39
2014 39  0.369,288.67, 83.55, 25.77, 54.66
2014 40  0.341,286.63, 81.37, 28.39, 54.88
2014 41  0.316,284.96, 80.73, 23.94, 52.33
2014 42  0.287,283.09, 79.52, 23.55, 51.54
2014 43  0.257,281.31, 76.67, 24.75, 50.71
2014 44  0.225,279.20, 72.20, 20.03, 46.12
2014 45  0.195,276.71, 67.90, 20.88, 44.39
2014 46  0.166,274.03, 64.49, 24.33, 44.41
2014 47  0.140,271.75, 62.33, 27.00, 44.67
2014 48  0.121,269.70, 58.97, 30.92, 44.94
2014 49  0.110,267.64, 54.85, 34.62, 44.73
2014 50  0.106,266.51, 55.87, 32.83, 44.35
2014 51  0.104,265.85, 57.90, 28.72, 43.31
2014 52  0.101,264.64, 58.31, 29.62, 43.96
2015 01  0.100,263.89, 64.32, 30.70, 47.51
2015 02  0.101,264.00, 65.09, 31.84, 48.47
2015 03  0.102,264.99, 66.06, 29.06, 47.56
2015 04  0.102,265.94, 65.24, 27.38, 46.31
2015 05  0.104,267.06, 61.28, 27.92, 44.60
2015 06  0.108,268.49, 57.81, 29.11, 43.46
2015 07  0.116,270.47, 57.79, 26.50, 42.14
2015 08  0.129,273.08, 61.41, 21.78, 41.60
2015 09  0.145,275.99, 67.14, 16.01, 41.57
2015 10  0.161,278.25, 70.69, 14.63, 42.66
2015 11  0.181,280.96, 73.67,  9.08, 41.38
2015 12  0.196,282.97, 73.51, 12.39, 42.95
2015 13  0.208,284.64, 70.74, 14.23, 42.49
2015 14  0.220,285.89, 65.90, 16.49, 41.19
2015 15  0.239,287.70, 63.09, 17.72, 40.40
2015 16  0.271,289.94, 64.87, 16.15, 40.51
2015 17  0.309,291.74, 67.72, 15.82, 41.77
2015 18  0.345,293.04, 68.77, 17.31, 43.04
2015 19  0.377,294.21, 68.09, 18.60, 43.34
2015 20  0.405,295.31, 67.61, 19.13, 43.37
2015 21  0.427,296.31, 66.63, 17.54, 42.09
2015 22  0.443,296.95, 66.45, 15.79, 41.12
2015 23  0.457,297.58, 67.89, 12.96, 40.43
2015 24  0.466,297.93, 67.61, 10.84, 39.23
2015 25  0.470,298.13, 67.34,  9.75, 38.54
