# Province names for selected countries
CountryCode,provinceID,minLat,minLon,maxLat,maxLon,newID,province_name
UKR,  1,  48.4658,  29.6201,  50.2095,  32.9217, 22, Cherkasy
UKR,  2,  50.3263,  30.4749,  52.3750,  33.5088, 24, Chernihiv
UKR,  3,  47.7299,  24.8985,  48.6767,  27.5337, 23, Chernivtsi
UKR,  4,  44.3821,  32.4623,  46.1905,  36.6457, 25, Crimea
UKR,  5,  47.4224,  32.9624,  49.1688,  36.9234,  3, Dnipropetrovsk
UKR,  6,  46.8547,  36.5451,  49.2586,  39.0730,  4, Donetsk
UKR,  7,  47.7256,  23.5408,  49.5503,  25.6406,  8, Ivano-Frankivsk
UKR,  8,  48.5145,  34.8923,  50.4649,  38.0916, 19, Kharkiv
UKR,  9,  45.9012,  31.5029,  47.5770,  35.1345, 20, Kherson
UKR, 10,  48.4516,  26.1233,  50.5936,  27.9138, 21, Khmelnytskyy
UKR, 11,  49.1833,  29.2782,  51.5291,  32.1777,  9, Kiev
UKR, 12,  50.2222,  30.2436,  50.5990,  30.8177, 26, Kiev(City)
UKR, 13,  47.7474,  29.7669,  49.2203,  33.9350, 10, Kirovohrad
UKR, 14,  47.8197,  37.8543,  50.0859,  40.2181, 11, Luhansk
UKR, 15,  48.7197,  22.6674,  50.6624,  25.4084, 12, Lviv
UKR, 16,  46.6071,  30.2248,  48.2243,  33.1872, 13, Mykolayiv
UKR, 17,  45.2046,  28.1966,  48.2608,  31.3259, 14, Odessa
UKR, 18,  48.7129,  32.1130,  50.5330,  35.5214, 15, Poltava
UKR, 19,  50.0053,  25.0927,  51.9615,  27.7233, 16, Rivne
UKR, 20,  44.3821,  33.3637,  44.8442,  33.9267, 27, Sevastopol
UKR, 21,  50.0999,  32.9896,  52.3600,  35.6936, 17, Sumy
UKR, 22,  48.5085,  24.6968,  50.2727,  26.4382, 18, Ternopil
UKR, 23,  47.9043,  22.1404,  49.0956,  24.6196,  6, Transcarpathia
UKR, 24,  48.0641,  27.3740,  49.8979,  30.0414,  1, Vinnytsya
UKR, 25,  50.2910,  23.6211,  51.9843,  26.1119,  2, Volyn
UKR, 26,  46.0728,  34.1475,  48.1090,  37.2501,  7, Zaporizhzhya
UKR, 27,  49.5837,  27.1974,  51.6978,  29.7498,  5, Zhytomyr
